iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
91555000,1.73,1.44,0.95,1.27,0.69,0.41,0.56
91556000,2.17,1.79,1.23,1.64,0.73,0.43,0.59
91557000,1.89,1.57,1.04,1.43,0.65,0.42,0.49
91558000,1.89,1.57,1.04,1.43,0.65,0.42,0.49
91559000,2.15,1.77,1.22,1.6,0.75,0.45,0.6
91560000,1.92,1.6,1.07,1.45,0.66,0.44,0.5
91561000,1.73,1.45,0.95,1.28,0.67,0.41,0.53
91562000,2.39,1.96,1.36,1.81,0.75,0.46,0.6
91563000,1.92,1.6,1.07,1.45,0.66,0.44,0.5
91564000,2.02,1.66,1.14,1.52,0.68,0.45,0.52
91565000,2.29,1.88,1.32,1.73,0.73,0.45,0.57
91566000,2.29,1.88,1.32,1.73,0.73,0.45,0.57
91567000,2.29,1.88,1.32,1.73,0.73,0.45,0.57
91568000,2.29,1.88,1.32,1.73,0.73,0.45,0.57
91569000,2.09,1.73,1.18,1.58,0.7,0.43,0.56
91570000,2.09,1.73,1.18,1.58,0.7,0.43,0.56
91571000,2.26,1.86,1.29,1.7,0.74,0.46,0.58
91572000,2.14,1.76,1.21,1.6,0.73,0.46,0.57
91573000,2.1,1.74,1.19,1.58,0.71,0.44,0.56
91574000,2.1,1.74,1.19,1.59,0.71,0.44,0.56
91575000,2.09,1.72,1.18,1.58,0.69,0.44,0.53
91576000,1.79,1.49,0.99,1.35,0.65,0.43,0.49
91577000,1.77,1.48,0.97,1.33,0.65,0.41,0.51
91578000,1.74,1.46,0.96,1.32,0.62,0.41,0.47
91579000,1.74,1.46,0.96,1.32,0.62,0.41,0.47
91580000,1.81,1.51,1.0,1.35,0.67,0.42,0.51
91581000,1.79,1.49,0.99,1.35,0.64,0.42,0.48
91582000,1.74,1.46,0.96,1.32,0.62,0.41,0.47
91583000,1.77,1.48,0.97,1.33,0.65,0.41,0.51
91584000,1.74,1.46,0.96,1.32,0.62,0.41,0.47
91585000,1.81,1.51,1.0,1.36,0.64,0.41,0.5
91586000,1.77,1.48,0.97,1.33,0.65,0.41,0.51
91587000,1.74,1.46,0.96,1.32,0.62,0.41,0.47
91588000,1.81,1.51,1.0,1.36,0.64,0.41,0.5
91589000,1.85,1.54,1.03,1.38,0.68,0.41,0.54
91590000,1.75,1.46,0.96,1.32,0.62,0.41,0.47
91591000,1.75,1.46,0.96,1.32,0.62,0.41,0.47
91592000,1.77,1.48,0.97,1.33,0.65,0.41,0.51
91593000,1.98,1.64,1.12,1.5,0.67,0.41,0.52
91594000,1.98,1.64,1.12,1.5,0.67,0.41,0.52
91595000,2.09,1.72,1.19,1.56,0.73,0.41,0.6
91596000,1.98,1.64,1.12,1.5,0.67,0.41,0.52
91597000,1.86,1.54,1.03,1.4,0.64,0.41,0.49
91598000,1.9,1.58,1.06,1.43,0.67,0.41,0.53
91599000,1.75,1.46,0.96,1.32,0.62,0.41,0.47
91600000,1.98,1.64,1.12,1.5,0.67,0.41,0.52
91601000,1.86,1.54,1.03,1.4,0.64,0.41,0.49
91602000,1.81,1.51,1.0,1.37,0.64,0.41,0.5
91603000,1.81,1.51,1.0,1.37,0.64,0.41,0.5
91604000,1.99,1.64,1.12,1.5,0.67,0.41,0.52
91605000,1.54,1.3,0.83,1.15,0.62,0.38,0.49
91606000,1.86,1.54,1.03,1.4,0.64,0.41,0.49
91607000,1.86,1.54,1.03,1.4,0.64,0.41,0.49
91608000,1.86,1.54,1.03,1.4,0.64,0.41,0.49
91609000,1.86,1.54,1.03,1.41,0.64,0.41,0.49
91610000,1.44,1.23,0.76,1.07,0.6,0.39,0.45
91611000,1.75,1.46,0.96,1.32,0.62,0.41,0.47
91612000,1.75,1.46,0.96,1.32,0.62,0.41,0.47
91613000,1.67,1.4,0.91,1.26,0.62,0.43,0.45
91614000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91615000,1.66,1.39,0.9,1.25,0.6,0.4,0.45
91616000,1.67,1.4,0.91,1.26,0.62,0.43,0.45
91617000,1.66,1.39,0.9,1.25,0.6,0.4,0.45
91618000,1.66,1.39,0.9,1.25,0.6,0.4,0.45
91619000,1.66,1.39,0.9,1.25,0.6,0.4,0.45
91620000,1.66,1.39,0.9,1.25,0.6,0.4,0.45
91621000,1.44,1.23,0.76,1.07,0.6,0.39,0.45
91622000,1.47,1.25,0.77,1.08,0.62,0.42,0.46
91623000,2.12,1.77,1.17,1.6,0.76,0.51,0.56
91624000,1.69,1.42,0.91,1.28,0.61,0.42,0.45
91625000,1.77,1.5,0.94,1.31,0.72,0.48,0.53
91626000,2.11,1.75,1.18,1.59,0.73,0.44,0.57
91627000,1.72,1.45,0.92,1.3,0.63,0.44,0.46
91628000,1.74,1.47,0.93,1.31,0.68,0.44,0.51
91629000,1.69,1.42,0.91,1.28,0.61,0.42,0.45
91630000,2.05,1.7,1.13,1.56,0.69,0.46,0.51
91631000,2.13,1.77,1.19,1.6,0.75,0.46,0.59
91632000,2.05,1.7,1.13,1.56,0.69,0.46,0.51
91633000,2.0,1.66,1.11,1.52,0.67,0.44,0.51
91634000,1.69,1.42,0.91,1.22,0.73,0.42,0.6
91635000,2.03,1.68,1.13,1.53,0.7,0.46,0.52
91636000,2.01,1.66,1.13,1.52,0.68,0.44,0.51
91637000,1.56,1.32,0.84,1.16,0.62,0.37,0.49
91638000,1.6,1.35,0.86,1.18,0.66,0.38,0.54
91639000,1.6,1.35,0.86,1.18,0.66,0.38,0.54
91640000,1.6,1.35,0.86,1.18,0.66,0.38,0.54
91641000,2.04,1.69,1.15,1.54,0.7,0.43,0.56
91642000,2.09,1.73,1.18,1.56,0.73,0.45,0.58
91643000,2.04,1.69,1.15,1.54,0.7,0.43,0.56
91644000,2.04,1.69,1.15,1.54,0.7,0.43,0.56
91645000,2.04,1.69,1.15,1.54,0.7,0.43,0.56
91646000,1.6,1.35,0.86,1.18,0.66,0.38,0.54
91647000,1.44,1.23,0.76,1.06,0.61,0.38,0.48
91648000,1.68,1.41,0.91,1.26,0.63,0.41,0.48
91649000,1.68,1.41,0.91,1.26,0.63,0.41,0.48
91650000,1.44,1.23,0.76,1.06,0.61,0.38,0.48
91651000,1.44,1.23,0.76,1.06,0.61,0.38,0.48
91652000,1.44,1.23,0.76,1.06,0.61,0.38,0.48
91653000,1.44,1.23,0.76,1.06,0.61,0.38,0.48
91654000,1.44,1.23,0.76,1.06,0.61,0.38,0.48
91655000,1.44,1.23,0.76,1.06,0.61,0.38,0.48
91656000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91657000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91658000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91659000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91660000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91661000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91662000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91663000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91664000,1.45,1.23,0.76,1.07,0.6,0.39,0.45
91665000,1.45,1.23,0.76,1.07,0.6,0.39,0.45
91666000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91667000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91668000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91669000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91670000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91671000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91672000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91673000,1.45,1.23,0.76,1.07,0.6,0.39,0.45
91674000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91675000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91676000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91677000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91678000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91679000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91680000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91681000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91682000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91683000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91684000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91685000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91686000,1.47,1.25,0.78,1.09,0.6,0.37,0.47
91687000,1.34,1.15,0.7,0.99,0.59,0.36,0.47
91688000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91689000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91690000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91691000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91692000,1.34,1.15,0.7,0.99,0.59,0.36,0.47
91693000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91694000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91695000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91696000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91697000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91698000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91699000,1.42,1.21,0.75,1.06,0.58,0.37,0.45
91700000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91701000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91702000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91703000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91704000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91705000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91706000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91707000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91708000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91709000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91710000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91711000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91712000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91713000,1.3,1.12,0.67,0.96,0.57,0.36,0.44
91714000,1.25,1.07,0.63,0.92,0.56,0.35,0.43
91715000,1.25,1.07,0.63,0.92,0.56,0.35,0.43
91716000,1.25,1.07,0.63,0.92,0.56,0.35,0.43
91717000,1.25,1.07,0.63,0.92,0.56,0.35,0.43
