iTOW,lon,lat,height,hMSL,hAcc,vAcc
91679000,114.1800468,22.3056223,22397,24010,1350,3022
91680000,114.1800463,22.3056223,22483,24096,1341,3009
91681000,114.1800458,22.3056223,22622,24235,1335,2998
91682000,114.1800456,22.3056224,22806,24419,1327,2987
91683000,114.1800454,22.3056225,22913,24526,1319,2974
91684000,114.1800456,22.3056225,23024,24638,1312,2971
91685000,114.1800457,22.3056224,23146,24759,1307,2974
91686000,114.1800455,22.3056224,23171,24784,1301,2975
91687000,114.1800452,22.3056225,23290,24903,1294,2971
91688000,114.1800448,22.3056227,23462,25075,1287,2965
91689000,114.1800445,22.3056229,23655,25268,1280,2957
91690000,114.1800442,22.3056231,23852,25466,1273,2946
91691000,114.1800439,22.3056234,24062,25675,1268,2937
91692000,114.1800436,22.3056236,24225,25838,1263,2932
91693000,114.1800434,22.3056238,24398,26011,1259,2926
91694000,114.1800431,22.305624,24566,26179,1255,2919
91695000,114.180043,22.3056242,24767,26380,1251,2912
91696000,114.1800427,22.3056244,24853,26467,1247,2906
91697000,114.1800427,22.3056245,25048,26661,1242,2898
91698000,114.1800427,22.3056245,25224,26837,1238,2891
91699000,114.1800428,22.3056245,25342,26955,1235,2887
91700000,114.1800428,22.3056246,25450,27063,1233,2881
91701000,114.1800428,22.3056246,25581,27194,1230,2875
91702000,114.1800429,22.3056247,25730,27343,1227,2868
91703000,114.1800429,22.3056247,25921,27534,1224,2861
91704000,114.1800429,22.3056248,26109,27722,1222,2856
91705000,114.1800429,22.3056248,26309,27922,1217,2847
91706000,114.1800426,22.305625,26385,27998,1207,2836
91707000,114.1800423,22.3056252,26539,28152,1195,2819
91708000,114.180042,22.3056254,26713,28326,1184,2803
91709000,114.1800419,22.3056255,26909,28522,1174,2788
91710000,114.1800417,22.3056256,27059,28673,1165,2772
91711000,114.1800414,22.3056259,27125,28738,1157,2757
91712000,114.1800411,22.3056262,27214,28828,1149,2743
91713000,114.180041,22.3056264,27308,28921,1142,2730
91714000,114.1800408,22.3056266,27346,28959,1135,2715
91715000,114.1800406,22.3056268,27435,29048,1128,2698
91716000,114.1800406,22.305627,27538,29152,1121,2682
91717000,114.1800402,22.3056272,27566,29179,1114,2668
