iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
91691000,155571,2390,18,1,1,1,6
91692000,155393,2390,18,1,1,1,6
91693000,155215,2390,18,1,1,1,6
91694000,155037,2390,18,1,1,1,6
91695000,154859,2390,18,1,1,1,6
91696000,154682,2390,18,1,1,1,6
91697000,154504,2390,18,1,1,1,6
91698000,154327,2390,18,1,1,1,6
91699000,154149,2390,18,1,1,1,6
91700000,153971,2390,18,1,1,1,6
91701000,153793,2390,18,1,1,1,6
91702000,153614,2390,18,1,1,1,6
91703000,153435,2390,18,1,1,1,6
91704000,153255,2390,18,1,1,1,6
91705000,153076,2390,18,1,1,1,6
91706000,152896,2390,18,1,1,1,6
91707000,152717,2390,18,1,1,1,6
91708000,152538,2390,18,1,1,1,6
91709000,152358,2390,18,1,1,1,6
91710000,152178,2390,18,1,1,1,6
91711000,151999,2390,18,1,1,1,6
91712000,151819,2390,18,1,1,1,6
91713000,151639,2390,18,1,1,1,6
91714000,151459,2390,18,1,1,1,6
91715000,151279,2390,18,1,1,1,6
91716000,151098,2390,18,1,1,1,6
91717000,150917,2390,18,1,1,1,6
