iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
91608000,91608,170210,1366,18,1,1,1,12
91609000,91609,170027,1366,18,1,1,1,12
91610000,91610,169845,1366,18,1,1,1,12
91611000,91611,169663,1366,18,1,1,1,11
91612000,91612,169480,1366,18,1,1,1,11
91613000,91613,169297,1366,18,1,1,1,11
91614000,91614,169113,1366,18,1,1,1,11
91615000,91615,168930,1366,18,1,1,1,11
91616000,91616,168745,1366,18,1,1,1,11
91617000,91617,168560,1366,18,1,1,1,11
91618000,91618,168376,1366,18,1,1,1,11
91619000,91619,168193,1366,18,1,1,1,11
91620000,91620,168010,1366,18,1,1,1,11
91621000,91621,167827,1366,18,1,1,1,11
91622000,91622,167644,1366,18,1,1,1,11
91623000,91623,167461,1366,18,1,1,1,11
91624000,91624,167281,1366,18,1,1,1,11
91625000,91625,167101,1366,18,1,1,1,11
91626000,91626,166923,1366,18,1,1,1,11
91627000,91627,166746,1366,18,1,1,1,11
91628000,91628,166569,1366,18,1,1,1,11
91629000,91629,166392,1366,18,1,1,1,11
91630000,91630,166214,1366,18,1,1,1,11
91631000,91631,166039,1366,18,1,1,1,11
91632000,91632,165856,1366,18,1,1,1,11
91633000,91633,165674,1366,18,1,1,1,11
91634000,91634,165494,1366,18,1,1,1,11
91635000,91635,165320,1366,18,1,1,1,11
91636000,91636,165149,1366,18,1,1,1,11
91637000,91637,164978,1366,18,1,1,1,11
91638000,91638,164806,1366,18,1,1,1,11
91639000,91639,164635,1366,18,1,1,1,11
91640000,91640,164464,1366,18,1,1,1,10
91641000,91641,164289,1366,18,1,1,1,10
91642000,91642,164112,1366,18,1,1,1,10
91643000,91643,163940,1366,18,1,1,1,10
91644000,91644,163770,1366,18,1,1,1,10
91645000,91645,163600,1366,18,1,1,1,10
91646000,91646,163428,1366,18,1,1,1,10
91647000,91647,163257,1366,18,1,1,1,10
91648000,91648,163085,1366,18,1,1,1,10
91649000,91649,162914,1366,18,1,1,1,10
91650000,91650,162741,1366,18,1,1,1,10
91651000,91651,162568,1366,18,1,1,1,10
91652000,91652,162395,1366,18,1,1,1,10
91653000,91653,162222,1366,18,1,1,1,10
91654000,91654,162050,1366,18,1,1,1,10
91655000,91655,161877,1366,18,1,1,1,10
91656000,91656,161702,1366,18,1,1,1,10
91657000,91657,161526,1366,18,1,1,1,10
91658000,91658,161351,1366,18,1,1,1,10
91659000,91659,161175,1366,18,1,1,1,9
91660000,91660,161000,1366,18,1,1,1,9
91661000,91661,160827,1366,18,1,1,1,9
91662000,91662,160654,1366,18,1,1,1,9
91663000,91663,160481,1366,18,1,1,1,9
91664000,91664,160307,1366,18,1,1,1,9
91665000,91665,160133,1366,18,1,1,1,9
91666000,91666,159959,1366,18,1,1,1,9
91667000,91667,159785,1366,18,1,1,1,9
91668000,91668,159610,1366,18,1,1,1,9
91669000,91669,159436,1366,18,1,1,1,9
91670000,91670,159260,1366,18,1,1,1,9
91671000,91671,159085,1366,18,1,1,1,9
91672000,91672,158911,1366,18,1,1,1,9
91673000,91673,158737,1366,18,1,1,1,9
91674000,91674,158562,1366,18,1,1,1,9
91675000,91675,158387,1366,18,1,1,1,9
91676000,91676,158213,1366,18,1,1,1,9
91677000,91677,158038,1366,18,1,1,1,9
91678000,91678,157864,1366,18,1,1,1,9
91679000,91679,157689,1366,18,1,1,1,9
91680000,91680,157514,1366,18,1,1,1,9
91681000,91681,157339,1366,18,1,1,1,9
91682000,91682,157164,1366,18,1,1,1,9
91683000,91683,156989,1366,18,1,1,1,9
91684000,91684,156813,1366,18,1,1,1,9
91685000,91685,156637,1366,18,1,1,1,9
91686000,91686,156461,1366,18,1,1,1,9
91687000,91687,156285,1366,18,1,1,1,9
91688000,91688,156108,1366,18,1,1,1,9
91689000,91689,155931,1366,18,1,1,1,9
91690000,91690,155754,1366,18,1,1,1,9
91691000,91691,155577,1366,18,1,1,1,9
91692000,91692,155399,1366,18,1,1,1,8
91693000,91693,155221,1366,18,1,1,1,8
91694000,91694,155043,1366,18,1,1,1,8
91695000,91695,154865,1366,18,1,1,1,8
91696000,91696,154688,1366,18,1,1,1,8
91697000,91697,154510,1366,18,1,1,1,8
91698000,91698,154333,1366,18,1,1,1,8
91699000,91699,154155,1366,18,1,1,1,8
91700000,91700,153977,1366,18,1,1,1,8
91701000,91701,153799,1366,18,1,1,1,8
91702000,91702,153620,1366,18,1,1,1,8
91703000,91703,153441,1366,18,1,1,1,8
91704000,91704,153261,1366,18,1,1,1,8
91705000,91705,153082,1366,18,1,1,1,8
91706000,91706,152902,1366,18,1,1,1,8
91707000,91707,152723,1366,18,1,1,1,8
91708000,91708,152544,1366,18,1,1,1,8
91709000,91709,152364,1366,18,1,1,1,8
91710000,91710,152184,1366,18,1,1,1,8
91711000,91711,152005,1366,18,1,1,1,8
91712000,91712,151825,1366,18,1,1,1,8
91713000,91713,151645,1366,18,1,1,1,8
91714000,91714,151465,1366,18,1,1,1,8
91715000,91715,151285,1366,18,1,1,1,8
91716000,91716,151104,1366,18,1,1,1,8
91717000,91717,150923,1366,18,1,1,1,8
