iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
91552000,1008,180399,2025,10,27,1,25,34,1,1,1,0,15
91553000,1008,180216,2025,10,27,1,25,35,1,1,1,0,15
91554000,1009,180034,2025,10,27,1,25,36,1,1,1,0,15
91555000,1009,179851,2025,10,27,1,25,37,1,1,1,0,15
91556000,1009,179668,2025,10,27,1,25,38,1,1,1,0,15
91557000,1009,179485,2025,10,27,1,25,39,1,1,1,0,15
91558000,1009,179302,2025,10,27,1,25,40,1,1,1,0,15
91559000,1009,179119,2025,10,27,1,25,41,1,1,1,0,15
91560000,1009,178936,2025,10,27,1,25,42,1,1,1,0,15
91561000,1009,178752,2025,10,27,1,25,43,1,1,1,0,15
91562000,1009,178568,2025,10,27,1,25,44,1,1,1,0,15
91563000,1009,178386,2025,10,27,1,25,45,1,1,1,0,15
91564000,1009,178203,2025,10,27,1,25,46,1,1,1,0,15
91565000,1009,178021,2025,10,27,1,25,47,1,1,1,0,15
91566000,1009,177838,2025,10,27,1,25,48,1,1,1,0,15
91567000,1009,177654,2025,10,27,1,25,49,1,1,1,0,15
91568000,1009,177469,2025,10,27,1,25,50,1,1,1,0,15
91569000,1009,177284,2025,10,27,1,25,51,1,1,1,0,15
91570000,1009,177100,2025,10,27,1,25,52,1,1,1,0,15
91571000,1009,176916,2025,10,27,1,25,53,1,1,1,0,15
91572000,1009,176732,2025,10,27,1,25,54,1,1,1,0,15
91573000,1009,176548,2025,10,27,1,25,55,1,1,1,0,15
91574000,1010,176364,2025,10,27,1,25,56,1,1,1,0,15
91575000,1010,176179,2025,10,27,1,25,57,1,1,1,0,15
91576000,1010,175994,2025,10,27,1,25,58,1,1,1,0,15
91577000,1010,175810,2025,10,27,1,25,59,1,1,1,0,15
91578000,1010,175628,2025,10,27,1,26,0,1,1,1,0,15
91579000,1010,175446,2025,10,27,1,26,1,1,1,1,0,15
91580000,1010,175266,2025,10,27,1,26,2,1,1,1,0,15
91581000,1010,175086,2025,10,27,1,26,3,1,1,1,0,15
91582000,1010,174906,2025,10,27,1,26,4,1,1,1,0,15
91583000,1009,174724,2025,10,27,1,26,5,1,1,1,0,15
91584000,1009,174546,2025,10,27,1,26,6,1,1,1,0,15
91585000,1009,174367,2025,10,27,1,26,7,1,1,1,0,15
91586000,1009,174187,2025,10,27,1,26,8,1,1,1,0,15
91587000,1009,174005,2025,10,27,1,26,9,1,1,1,0,15
91588000,1009,173825,2025,10,27,1,26,10,1,1,1,0,15
91589000,1009,173644,2025,10,27,1,26,11,1,1,1,0,15
91590000,1009,173464,2025,10,27,1,26,12,1,1,1,0,15
91591000,1009,173284,2025,10,27,1,26,13,1,1,1,0,15
91592000,1009,173105,2025,10,27,1,26,14,1,1,1,0,15
91593000,1009,172925,2025,10,27,1,26,15,1,1,1,0,15
91594000,1009,172744,2025,10,27,1,26,16,1,1,1,0,15
91595000,1009,172564,2025,10,27,1,26,17,1,1,1,0,15
91596000,1009,172383,2025,10,27,1,26,18,1,1,1,0,15
91597000,1009,172202,2025,10,27,1,26,19,1,1,1,0,15
91598000,1009,172021,2025,10,27,1,26,20,1,1,1,0,15
91599000,1009,171839,2025,10,27,1,26,21,1,1,1,0,15
91600000,1009,171658,2025,10,27,1,26,22,1,1,1,0,15
91601000,1009,171477,2025,10,27,1,26,23,1,1,1,0,15
91602000,1009,171296,2025,10,27,1,26,24,1,1,1,0,15
91603000,1009,171113,2025,10,27,1,26,25,1,1,1,0,15
91604000,1009,170932,2025,10,27,1,26,26,1,1,1,0,15
91605000,1009,170750,2025,10,27,1,26,27,1,1,1,0,15
91606000,1009,170569,2025,10,27,1,26,28,1,1,1,0,15
91607000,1009,170386,2025,10,27,1,26,29,1,1,1,0,15
91608000,1009,170204,2025,10,27,1,26,30,1,1,1,0,15
91609000,1009,170022,2025,10,27,1,26,31,1,1,1,0,15
91610000,1009,169839,2025,10,27,1,26,32,1,1,1,0,15
91611000,1009,169657,2025,10,27,1,26,33,1,1,1,0,15
91612000,1009,169475,2025,10,27,1,26,34,1,1,1,0,15
91613000,1009,169291,2025,10,27,1,26,35,1,1,1,0,15
91614000,1009,169108,2025,10,27,1,26,36,1,1,1,0,15
91615000,1009,168924,2025,10,27,1,26,37,1,1,1,0,15
91616000,1009,168739,2025,10,27,1,26,38,1,1,1,0,15
91617000,1008,168555,2025,10,27,1,26,39,1,1,1,0,15
91618000,1008,168371,2025,10,27,1,26,40,1,1,1,0,15
91619000,1008,168187,2025,10,27,1,26,41,1,1,1,0,15
91620000,1008,168005,2025,10,27,1,26,42,1,1,1,0,15
91621000,1008,167821,2025,10,27,1,26,43,1,1,1,0,15
91622000,1008,167638,2025,10,27,1,26,44,1,1,1,0,15
91623000,1008,167455,2025,10,27,1,26,45,1,1,1,0,15
91624000,1008,167275,2025,10,27,1,26,46,1,1,1,0,15
91625000,1008,167095,2025,10,27,1,26,47,1,1,1,0,15
91626000,1008,166917,2025,10,27,1,26,48,1,1,1,0,15
91627000,1008,166740,2025,10,27,1,26,49,1,1,1,0,15
91628000,1008,166563,2025,10,27,1,26,50,1,1,1,0,15
91629000,1008,166386,2025,10,27,1,26,51,1,1,1,0,15
91630000,1008,166209,2025,10,27,1,26,52,1,1,1,0,15
91631000,1008,166034,2025,10,27,1,26,53,1,1,1,0,15
91632000,1008,165850,2025,10,27,1,26,54,1,1,1,0,15
91633000,1008,165669,2025,10,27,1,26,55,1,1,1,0,15
91634000,1008,165489,2025,10,27,1,26,56,1,1,1,0,15
91635000,1008,165314,2025,10,27,1,26,57,1,1,1,0,15
91636000,1008,165143,2025,10,27,1,26,58,1,1,1,0,15
91637000,1008,164972,2025,10,27,1,26,59,1,1,1,0,15
91638000,1008,164801,2025,10,27,1,27,0,1,1,1,0,15
91639000,1008,164630,2025,10,27,1,27,1,1,1,1,0,15
91640000,1008,164459,2025,10,27,1,27,2,1,1,1,0,15
91641000,1008,164283,2025,10,27,1,27,3,1,1,1,0,15
91642000,1008,164107,2025,10,27,1,27,4,1,1,1,0,15
91643000,1008,163935,2025,10,27,1,27,5,1,1,1,0,15
91644000,1008,163765,2025,10,27,1,27,6,1,1,1,0,15
91645000,1008,163594,2025,10,27,1,27,7,1,1,1,0,15
91646000,1008,163423,2025,10,27,1,27,8,1,1,1,0,15
91647000,1008,163251,2025,10,27,1,27,9,1,1,1,0,15
91648000,1008,163080,2025,10,27,1,27,10,1,1,1,0,15
91649000,1008,162908,2025,10,27,1,27,11,1,1,1,0,15
91650000,1008,162735,2025,10,27,1,27,12,1,1,1,0,15
91651000,1008,162562,2025,10,27,1,27,13,1,1,1,0,15
91652000,1008,162389,2025,10,27,1,27,14,1,1,1,0,15
91653000,1008,162217,2025,10,27,1,27,15,1,1,1,0,15
91654000,1008,162044,2025,10,27,1,27,16,1,1,1,0,15
91655000,1008,161871,2025,10,27,1,27,17,1,1,1,0,15
91656000,1007,161696,2025,10,27,1,27,18,1,1,1,0,15
91657000,1007,161521,2025,10,27,1,27,19,1,1,1,0,15
91658000,1007,161346,2025,10,27,1,27,20,1,1,1,0,15
91659000,1007,161169,2025,10,27,1,27,21,1,1,1,0,15
91660000,1007,160994,2025,10,27,1,27,22,1,1,1,0,15
91661000,1007,160821,2025,10,27,1,27,23,1,1,1,0,15
91662000,1007,160648,2025,10,27,1,27,24,1,1,1,0,15
91663000,1007,160475,2025,10,27,1,27,25,1,1,1,0,15
91664000,1007,160301,2025,10,27,1,27,26,1,1,1,0,15
91665000,1007,160127,2025,10,27,1,27,27,1,1,1,0,15
91666000,1007,159953,2025,10,27,1,27,28,1,1,1,0,15
91667000,1007,159779,2025,10,27,1,27,29,1,1,1,0,15
91668000,1007,159604,2025,10,27,1,27,30,1,1,1,0,15
91669000,1007,159430,2025,10,27,1,27,31,1,1,1,0,15
91670000,1007,159254,2025,10,27,1,27,32,1,1,1,0,15
91671000,1007,159079,2025,10,27,1,27,33,1,1,1,0,15
91672000,1007,158905,2025,10,27,1,27,34,1,1,1,0,15
91673000,1007,158731,2025,10,27,1,27,35,1,1,1,0,15
91674000,1007,158556,2025,10,27,1,27,36,1,1,1,0,15
91675000,1007,158381,2025,10,27,1,27,37,1,1,1,0,15
91676000,1007,158207,2025,10,27,1,27,38,1,1,1,0,15
91677000,1007,158032,2025,10,27,1,27,39,1,1,1,0,15
91678000,1007,157858,2025,10,27,1,27,40,1,1,1,0,15
91679000,1007,157683,2025,10,27,1,27,41,1,1,1,0,15
91680000,1007,157508,2025,10,27,1,27,42,1,1,1,0,15
91681000,1007,157333,2025,10,27,1,27,43,1,1,1,0,15
91682000,1007,157158,2025,10,27,1,27,44,1,1,1,0,15
91683000,1007,156983,2025,10,27,1,27,45,1,1,1,0,15
91684000,1007,156807,2025,10,27,1,27,46,1,1,1,0,15
91685000,1007,156631,2025,10,27,1,27,47,1,1,1,0,15
91686000,1007,156455,2025,10,27,1,27,48,1,1,1,0,15
91687000,1007,156279,2025,10,27,1,27,49,1,1,1,0,15
91688000,1007,156102,2025,10,27,1,27,50,1,1,1,0,15
91689000,1007,155925,2025,10,27,1,27,51,1,1,1,0,15
91690000,1007,155748,2025,10,27,1,27,52,1,1,1,0,15
91691000,1006,155571,2025,10,27,1,27,53,1,1,1,0,15
91692000,1006,155393,2025,10,27,1,27,54,1,1,1,0,15
91693000,1006,155215,2025,10,27,1,27,55,1,1,1,0,15
91694000,1006,155037,2025,10,27,1,27,56,1,1,1,0,15
91695000,1006,154859,2025,10,27,1,27,57,1,1,1,0,15
91696000,1006,154681,2025,10,27,1,27,58,1,1,1,0,15
91697000,1006,154504,2025,10,27,1,27,59,1,1,1,0,15
91698000,1006,154326,2025,10,27,1,28,0,1,1,1,0,15
91699000,1006,154149,2025,10,27,1,28,1,1,1,1,0,15
91700000,1006,153971,2025,10,27,1,28,2,1,1,1,0,15
91701000,1006,153792,2025,10,27,1,28,3,1,1,1,0,15
91702000,1006,153613,2025,10,27,1,28,4,1,1,1,0,15
91703000,1006,153434,2025,10,27,1,28,5,1,1,1,0,15
91704000,1006,153255,2025,10,27,1,28,6,1,1,1,0,15
91705000,1006,153075,2025,10,27,1,28,7,1,1,1,0,15
91706000,1006,152896,2025,10,27,1,28,8,1,1,1,0,15
91707000,1006,152717,2025,10,27,1,28,9,1,1,1,0,15
91708000,1006,152538,2025,10,27,1,28,10,1,1,1,0,15
91709000,1006,152358,2025,10,27,1,28,11,1,1,1,0,15
91710000,1006,152178,2025,10,27,1,28,12,1,1,1,0,15
91711000,1006,151998,2025,10,27,1,28,13,1,1,1,0,15
91712000,1006,151819,2025,10,27,1,28,14,1,1,1,0,15
91713000,1006,151639,2025,10,27,1,28,15,1,1,1,0,15
91714000,1006,151458,2025,10,27,1,28,16,1,1,1,0,15
91715000,1006,151278,2025,10,27,1,28,17,1,1,1,0,15
91716000,1006,151097,2025,10,27,1,28,18,1,1,1,0,15
91717000,1006,150916,2025,10,27,1,28,19,1,1,1,0,15
