iTOW,clkB,clkD,tAcc,fAcc
91622000,832361,183,8,1396
91623000,832544,183,8,1703
91624000,832724,182,8,1026
91625000,832904,180,8,780
91626000,833083,180,8,760
91627000,833260,178,8,705
91628000,833436,178,8,800
91629000,833613,177,8,870
91630000,833791,178,8,1237
91631000,833966,176,8,1055
91632000,834149,185,8,1035
91633000,834331,181,8,965
91634000,834511,180,8,805
91635000,834685,172,8,1172
91636000,834856,172,8,822
91637000,835027,172,8,667
91638000,835199,172,8,645
91639000,835369,171,8,686
91640000,835541,172,8,629
91641000,835716,179,8,737
91642000,835893,175,8,1168
91643000,836065,171,8,739
91644000,836235,171,8,758
91645000,836405,171,8,700
91646000,836576,172,8,760
91647000,836748,172,8,807
91648000,836920,171,8,889
91649000,837091,172,8,863
91650000,837264,173,8,844
91651000,837438,173,8,749
91652000,837610,172,8,743
91653000,837783,173,8,765
91654000,837955,173,8,774
91655000,838128,173,8,836
91656000,838303,175,7,726
91657000,838479,175,7,632
91658000,838654,175,7,685
91659000,838830,176,7,645
91660000,839005,174,7,583
91661000,839178,172,7,541
91662000,839351,173,7,493
91663000,839525,174,7,503
91664000,839698,174,7,556
91665000,839872,175,7,796
91666000,840046,173,7,825
91667000,840221,175,7,906
91668000,840395,174,7,1061
91669000,840570,175,7,841
91670000,840745,175,7,903
91671000,840920,174,7,777
91672000,841094,174,7,704
91673000,841269,174,7,646
91674000,841443,174,7,660
91675000,841618,174,7,648
91676000,841793,174,7,587
91677000,841967,174,7,613
91678000,842142,174,7,621
91679000,842317,174,7,601
91680000,842491,174,7,589
91681000,842666,174,7,605
91682000,842841,175,7,595
91683000,843017,175,7,570
91684000,843192,175,7,669
91685000,843368,176,7,705
91686000,843544,176,7,685
91687000,843721,176,7,666
91688000,843898,176,7,647
91689000,844075,176,7,629
91690000,844252,177,7,602
91691000,844429,177,6,610
91692000,844607,177,6,618
91693000,844785,178,6,610
91694000,844963,178,6,603
91695000,845141,177,6,603
91696000,845318,177,6,604
91697000,845496,177,6,589
91698000,845673,177,6,593
91699000,845851,177,6,608
91700000,846029,178,6,600
91701000,846207,178,6,600
91702000,846386,178,6,599
91703000,846565,179,6,602
91704000,846745,179,6,599
91705000,846924,179,6,581
91706000,847104,179,6,574
91707000,847283,178,6,557
91708000,847462,179,6,552
91709000,847642,179,6,571
91710000,847822,179,6,575
91711000,848001,179,6,575
91712000,848181,179,6,571
91713000,848361,180,6,572
91714000,848541,180,6,551
91715000,848721,180,6,541
91716000,848902,181,6,538
91717000,849083,181,6,541
